Mixture	0	1	2	3	4	5
TCGA-27-1832-01	0.052539857	0.126196475	0.187341372	0.053788945	0.580133351	0
TCGA-27-1831-01	0.003056863	0.075076326	0.096358808	0	0.820686796	0.004821207
TCGA-28-5216-01	0.011522407	0.045387065	0.152830655	0.004052044	0.445787856	0.340419974
TCGA-16-0846-01	0.09090898	0.12916745	0.052755824	0.223781383	0.501010052	0.00237631
TCGA-28-5218-01	0.023465233	0.491557954	0.268591211	0.065949988	0.150435615	0
TCGA-06-0178-01	0.03538304	0.118028801	0.047239723	0.034333006	0.331103778	0.433911652
TCGA-06-0238-01	0.051283069	0.116009973	0.015925575	0.116554738	0.318538876	0.381687769
TCGA-06-0125-01	0	0.072951926	0	0.095517616	0.785101898	0.04642856
TCGA-06-0219-01	0.058207703	0.078303908	0.121961969	0	0.491905684	0.249620736
TCGA-06-0125-02	0.021612337	0.081172975	0.147742812	0.152247362	0.597224515	0
TCGA-06-0174-01	0	0.063412629	0.046075607	0.233012954	0.42907328	0.228425531
TCGA-28-1747-01	0.048998398	0.126949645	0	0.130247148	0.631288291	0.062516518
TCGA-12-0616-01	0	0.075747944	0.074471631	0	0.340609999	0.509170426
TCGA-06-5415-01	0.024641911	0.030637382	0.014889213	0.065732446	0.740649967	0.123449081
TCGA-28-2499-01	0.025318876	0.078096968	0.072010425	0.115069076	0.709504655	0
TCGA-06-5411-01	0.086072164	0.073335887	0.070624994	0.133188144	0.216375696	0.420403115
TCGA-06-0211-01	0	0.0805973	0	0.109198948	0.705684451	0.104519301
TCGA-19-1787-01	0.082199298	0.128473519	0.274009459	0.041861973	0.407238045	0.066217706
TCGA-27-1835-01	0	0.097840415	0	0.069688812	0.79551359	0.036957182
TCGA-28-5213-01	0.03930592	0.155921894	0.198824647	0	0.544386159	0.061561381
TCGA-06-2561-01	0.032758613	0.074281823	0.072256769	0.016518239	0.692440883	0.111743674
TCGA-14-2554-01	0.003009675	0.067452303	0.144920007	0.091216506	0.693401509	0
TCGA-06-2563-01	0	0.074360054	0	0.107920835	0.817719111	0
TCGA-41-3915-01	0.04866135	0.134779247	0.165633916	0.042643691	0.484281093	0.124000703
TCGA-76-4932-01	0	0.011996086	0.043896908	0	0.80807007	0.136036935
TCGA-06-5412-01	0.000145005	0.177603604	0	0.047306097	0.774945294	0
TCGA-26-5135-01	0	0.100844785	0.010354802	0.109231971	0.476140414	0.303428028
TCGA-16-1045-01	0.01417238	0.183632181	0.083804954	0.122197425	0.593666704	0.002526355
TCGA-06-0141-01	0.056239923	0.167508115	0.084271921	0	0.572047814	0.119932226
TCGA-06-2557-01	0.049461595	0.177967114	0	0.189161982	0.494717131	0.088692178
TCGA-06-0157-01	0.005805756	0.123511878	0	0.210598729	0.554546195	0.105537441
TCGA-28-1753-01	0	0.15453077	0	0.1179457	0.504105598	0.223417932
TCGA-26-5139-01	0.00315803	0.065617795	0.072131606	0.127279527	0.716302505	0.015510536
TCGA-26-5136-01	0.03083778	0.10805982	0.057298027	0.043169344	0.64731633	0.1133187
TCGA-28-2509-01	0.012046644	0.032575279	0.313072769	0	0.642305308	0
TCGA-06-0168-01	0.052279629	0.159115228	0.074453666	0.035703294	0.57632845	0.102119733
TCGA-76-4928-01	0	0.122444096	0.119873	0.033429206	0.724253697	0
TCGA-32-5222-01	0.016996883	0.080330341	0.067366965	0.007457557	0.804947166	0.022901088
TCGA-12-1597-01	0.068362369	0.085397359	0	0.238924252	0.364105615	0.243210406
TCGA-06-2567-01	0.058097006	0.167194575	0.065361395	0.091674333	0.61767269	0
TCGA-27-2526-01	0.038662762	0.040273095	0.077245614	0	0.843818529	0
TCGA-28-2513-01	0.003843106	0.166933422	0.072603499	0.096514202	0.660105772	0
TCGA-32-2615-01	0.037760816	0.063917347	0.251833783	0.051868044	0.59462001	0
TCGA-19-1389-02	0	0.176138308	0.289027868	0	0.534833824	0
TCGA-27-1834-01	0.042924972	0.132374826	0.058990289	0.216971926	0.473918694	0.074819292
TCGA-14-0787-01	0	0.059576098	0.034860245	0.028998127	0.782917101	0.093648429
TCGA-06-5418-01	0.001409646	0.078831696	0.140575166	0.02764447	0.723801261	0.02773776
TCGA-12-5295-01	0.031839783	0.084000164	0.03339423	0	0.646111109	0.204654714
